objectid,filename,title,creator,editor,publisher,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.408,https://weltylab.org/collection/W2005_1_408.jpg,Creatures Great and Small, Colette, ,,1951,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.410,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.409,https://weltylab.org/collection/W2005_1_409.jpg,"Collected Translations: Italian, French, Spanish, Portuguese",William Jay Smith, ,,1985,Poetry," Note: Dents: Minor, pages 105-120",Mississippi Department of Archives and History,W2005.1.411,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.410,https://weltylab.org/collection/W2005_1_410.jpg,The Part of Fortune (Uncorrected proof),Laurel Goldman, ,,1987,Fiction," Note:  There is a handwritten note in blue ink below the author's name on front cover: ""Write quote.""  Page numbers are handwritten.
",Mississippi Department of Archives and History,W2005.1.412,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.411,https://weltylab.org/collection/W2005_1_411.jpg,Le ble en Herbe, Colette,Robert Senhouse (translator) Senhouse,,1956,Fiction, Note: Sticker with address for the Holliday Bookshop is on back.,Mississippi Department of Archives and History,W2005.1.413,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.412,https://weltylab.org/collection/W2005_1_412.jpg,Ugetsu Monogatari: Tales of Moonlight and Rain,Ueda Akinari,Leon M. Zolbord (translator) Zolbrod,,"1977, c1974.",Fiction, Note: Not for sale outside of Japan.,Mississippi Department of Archives and History,W2005.1.414,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.413,https://weltylab.org/collection/W2005_1_413.jpg,The Makioka Sisters,Junichiro Tanizaki, ,,1981,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.415,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.414,https://weltylab.org/collection/W2005_1_414.jpg,Selected Poems 1923-1975,Robert Penn Warren, ,,1976,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.416,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.415,https://weltylab.org/collection/W2005_1_415.jpg,Chief Joseph of the Nez Perce,Robert Penn Warren, ,,1983,Poetry, Note: First appeared in The Georgia Review,Mississippi Department of Archives and History,W2005.1.417,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.416,https://weltylab.org/collection/W2005_1_416.jpg,The Collected Stories of Colette, Colette,Robert Phelps,,1983,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.418,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.417,https://weltylab.org/collection/W2005_1_417.jpg,Autumn,A.G. Mojtabai, ,,1982,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.419,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.418,https://weltylab.org/collection/W2005_1_418.jpg,Novel Writing in an Apocalyptic Time,Walker Percy, ,,1986,Non-fiction,"Book is inscribed: ""Walker Percy"" on first front fly leaf underneath author's typed name; :""Eudora Welty"" on second front fly leaf underneath author's typed name. Note: Afterword by Eudora Welty",Mississippi Department of Archives and History,W2005.1.420,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.419,https://weltylab.org/collection/W2005_1_419.jpg,The Strange Children,Caroline Gordon, ,,1951,Fiction,"Inscription by author on front free end paper reads ""For Eudora, with love, Caroline."" Note: ",Mississippi Department of Archives and History,W2005.1.421,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.420,https://weltylab.org/collection/W2005_1_420.jpg,The Beast in Me and Other Animals,James Thurber, ,,1948,Humor, Note: ,Mississippi Department of Archives and History,W2005.1.422,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.421,https://weltylab.org/collection/W2005_1_421.jpg,New Columbia Encyclopedia, ,Columbia University Press ,,1975,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.423,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.422,https://weltylab.org/collection/W2005_1_422.jpg,The Riverside Shakespeare: Volume I, ,"Houghton Mifflin Company
 ",,1974,Anthology, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.424,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.423a,https://weltylab.org/collection/W2005_1_423a.jpg,The Riverside Shakespeare: Volume II,Wiliam Shakespeare,Houghton Mifflin Company ,,1974,Anthology, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.425,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.423ab,https://weltylab.org/collection/W2005_1_423ab.jpg,"Sienese Paintings, The Pitman Gallery",Wiliam Shakespeare,R.H. Wilenski,,1949,Non-fiction,"Inscription on title page reads ""To E - Happy birthday. Love Toby (?)"". Note: ",Mississippi Department of Archives and History,W2005.1.426,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.423b,https://weltylab.org/collection/W2005_1_423b.jpg,The Meanings of Modern Art,John Russell, ,,1981,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.427,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.424,https://weltylab.org/collection/W2005_1_424.jpg,"Stark Young: A Life in the Arts Letters, 1900-1962 Volume I",Stark Young,John Pilkington,,1975,Non-fiction, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.428,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.425,https://weltylab.org/collection/W2005_1_425.jpg,"Stark Young: A Life in the Arts Letters, 1900-1962 Volume II",Stark Young,John Pilkington,,1975,Non-fiction, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.429,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.426a,https://weltylab.org/collection/W2005_1_426a.jpg,Don Quixote: Volume I,Miguel de Cervantes Saavedra, ,,1949,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.430,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.426ab,https://weltylab.org/collection/W2005_1_426ab.jpg,American Literature: The Makers and the Making Volume I,Cleanth (et. al) Brooks, ,,1973,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.431,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.426b,https://weltylab.org/collection/W2005_1_426b.jpg,The Complete Letters of Van Gogh: Volume I,Vincent Van Gogh,New York Graphic Society ,,1958,Non-fiction," Note: Boxed Set. Jagged, white scrap of paper found on page 26-27.",Mississippi Department of Archives and History,W2005.1.432,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.427,https://weltylab.org/collection/W2005_1_427.jpg,The Complete Letters of Van Gogh: Volume II,Vincent Van Gogh,New York Graphic Society ,,1958,Non-fiction, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.433,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.428,https://weltylab.org/collection/W2005_1_428.jpg,The Complete Letters of Van Gogh: Volume III,Vincent Van Gogh,New York Graphic Society ,,1958,Non-fiction, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.434,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.429a,https://weltylab.org/collection/W2005_1_429a.jpg,The Compact Edition of the Oxford English Dictionary Volume I A-O, ,Oxford University Press ,,1971,Dictionary, Note: Boxed Set. Minor folds on pages 2033-2046.,Mississippi Department of Archives and History,W2005.1.435,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.429abc,https://weltylab.org/collection/W2005_1_429abc.jpg,The Compact Edition of the Oxford English Dictionary Volume II P-Z, ,Oxford University Press ,,1971,Dictionary, Note: Boxed Set,Mississippi Department of Archives and History,W2005.1.436,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.429b,https://weltylab.org/collection/W2005_1_429b.jpg,Friends and Relations,Elizabeth Bowen, ,,"1980, c1931.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.437,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.429c,https://weltylab.org/collection/W2005_1_429c.jpg,Old Soldiers,Paul Bailey, ,,1982,Fiction,"Book is inscribed on the title page: ""For Eudora Welty/ with great admiration./  Paul Bailey/ October 4 1984"" Note: ",Mississippi Department of Archives and History,W2005.1.438,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.430a,https://weltylab.org/collection/W2005_1_430a.jpg,"Mary, Mary",James Stephens, ,,1912,Fiction, Note: Creased on page 95. Folded on 111; 209-212.,Mississippi Department of Archives and History,W2005.1.439,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.430ab,https://weltylab.org/collection/W2005_1_430ab.jpg,The Discovery of Time,Stephen; June Toulmin; Goodfield, ,,1967,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.440,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.430b,https://weltylab.org/collection/W2005_1_430b.jpg,The Double Helix,James D. Watson, ,,1968,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.441,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.431,https://weltylab.org/collection/W2005_1_431.jpg,After Leaving Mr. Mackenzie,Jean Rhys, ,,"[1974, c1931]",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.442,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
